snr_db,pe,ber,se,sinr_db,crlb_R,crlb_v,type
-9.0,0.015194142228388075,0.326500108247243,0.0942685226524848,-8.776605312486733,2.989346524016271,52.13006633677929,sweep
-6.0,0.016457704423573485,0.3006694380826938,0.20746496899312078,-5.015530246820486,2.116295269740696,36.90526070278836,sweep
-6.0,0.011582202481876793,0.30880628597311977,0.16828128758681887,-6.041596818376922,2.116295269740696,36.90526070278836,sweep
-6.0,0.0006258602648192093,0.3163797247276497,0.13456188494562482,-7.112625302055537,2.116295269740696,36.90526070278836,sweep
-6.0,0.004610092903646422,0.3152434185286093,0.13943764109685525,-6.9436459187824635,2.116295269740696,36.90526070278836,sweep
-6.0,0.0025787575845071646,0.3056179187287097,0.18329288757979456,-5.625798152872852,2.116295269740696,36.90526070278836,sweep
-6.0,0.0145100347710773,0.31548939375883395,0.138376498794054,-6.979957992633274,2.116295269740696,36.90526070278836,sweep
-6.0,0.012324489496549566,0.3018285046756303,0.20171193466752574,-5.154897356008376,2.116295269740696,36.90526070278836,sweep
-6.0,0.03374805064674671,0.31111556604290574,0.15770155226245564,-6.3550140224377945,2.116295269740696,36.90526070278836,sweep
-6.0,0.034237742089507715,0.29881261725217423,0.21679282296271368,-4.796539818592959,2.116295269740696,36.90526070278836,sweep
-6.0,0.01804328277639424,0.30569852569996864,0.18290777139250236,-5.6360812538263865,2.116295269740696,36.90526070278836,sweep
-6.0,0.03801533433555733,0.3168713057137254,0.1324735170875299,-7.186718322302955,2.116295269740696,36.90526070278836,sweep
-6.0,0.014694027043175932,0.2970560399982422,0.22573967885998203,-4.594012478667533,2.116295269740696,36.90526070278836,sweep
-6.0,0.006011790622992127,0.3175982915950273,0.12940856134022577,-7.297419037898651,2.116295269740696,36.90526070278836,sweep
-6.0,0.01708040043660435,0.3166439807971761,0.13343767026440012,-7.152379470987307,2.116295269740696,36.90526070278836,sweep
-6.0,0.003945868154949052,0.30130861352362903,0.20428569529270538,-5.0921256709778815,2.116295269740696,36.90526070278836,sweep
-6.0,0.032155081168959494,0.3109527997411891,0.15843893946539195,-6.332566902993646,2.116295269740696,36.90526070278836,sweep
-6.0,0.04054303217497779,0.3106865192736722,0.15964802772955325,-6.295962970434435,2.116295269740696,36.90526070278836,sweep
-6.0,0.0012106692065056274,0.3085821856929168,0.16932130380244553,-6.011746704724352,2.116295269740696,36.90526070278836,sweep
-6.0,0.01272735342111303,0.31458824152179016,0.14227928830678693,-6.847630110852494,2.116295269740696,36.90526070278836,sweep
-6.0,0.009603191974845753,0.30574037055063763,0.18270796156740665,-5.641423978966479,2.116295269740696,36.90526070278836,sweep
-6.0,0.05976625972099311,0.3071717757146029,0.1759196920860801,-5.826082974767325,2.116295269740696,36.90526070278836,sweep
-6.0,0.004303770193551874,0.311927849941489,0.15404079939827728,-6.467870990843361,2.116295269740696,36.90526070278836,sweep
-6.0,0.018282227326860873,0.31083812896823554,0.15895920284053122,-6.316785788821564,2.116295269740696,36.90526070278836,sweep
-6.0,0.013868020409357475,0.3052132952111015,0.18523035395028603,-5.574353097308032,2.116295269740696,36.90526070278836,sweep
-6.0,0.0031355499810870346,0.31042980350468813,0.1608169010639787,-6.2608124857076755,2.116295269740696,36.90526070278836,sweep
-6.0,0.01917164107902256,0.31518284393736584,0.1396994407111356,-6.93472591046044,2.116295269740696,36.90526070278836,sweep
-6.0,0.027220341733253384,0.28968785152803705,0.26447651340269474,-3.7891843661310016,2.116295269740696,36.90526070278836,sweep
-6.0,0.0017831057215981167,0.313488897705814,0.14709651542404212,-6.688772902340649,2.116295269740696,36.90526070278836,sweep
-6.0,0.03955700827078415,0.30742365251999315,0.17473468444488607,-5.8589646508278905,2.116295269740696,36.90526070278836,sweep
-6.0,0.018926582092670462,0.31588084573866576,0.13669423454250149,-7.03804825224338,2.116295269740696,36.90526070278836,sweep
-6.0,0.012711482535255302,0.30956003477069594,0.16480039406455904,-6.142717603127636,2.116295269740696,36.90526070278836,sweep
-6.0,0.0013674727880354698,0.30496669984598057,0.18641462894814986,-5.543140803989615,2.116295269740696,36.90526070278836,sweep
-6.0,0.006366957927903375,0.3166645628225401,0.13335026334930533,-7.15548314580512,2.116295269740696,36.90526070278836,sweep
-6.0,0.050629641619706484,0.30427633131643356,0.1897441014911802,-5.456317787796556,2.116295269740696,36.90526070278836,sweep
-6.0,0.00934320062875124,0.29581972094591275,0.23210591197665287,-4.454059787083148,2.116295269740696,36.90526070278836,sweep
-6.0,0.009170550349601849,0.30054225582124183,0.20809953232843648,-5.000364620824589,2.116295269740696,36.90526070278836,sweep
-6.0,0.01853521868146597,0.32229474688785587,0.11030397183114724,-8.047353516104163,2.116295269740696,36.90526070278836,sweep
-6.0,0.006671288418526963,0.3105757988325331,0.16015177166111116,-6.280786086443461,2.116295269740696,36.90526070278836,sweep
